True Label ski: pos,Predicted Label snow: neg,,
snowboarderi,schiori,0,FN
schiori,schiori,1,TP
schiori,schiori,1,TP
snowboarderi,snowboarderi,1,TN
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,snowboarderi,0,FP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,snowboarderi,0,FP
snowboarderi,snowboarderi,1,TN
snowboarderi,schiori,0,FN
schiori,schiori,1,TP
snowboarderi,snowboarderi,1,TN
snowboarderi,schiori,0,FN
snowboarderi,schiori,0,FN
schiori,schiori,1,TP
schiori,schiori,1,TP
snowboarderi,schiori,0,FN
snowboarderi,schiori,0,FN
schiori,snowboarderi,0,FP
snowboarderi,schiori,0,FN
schiori,snowboarderi,0,FP
schiori,schiori,1,TP
snowboarderi,snowboarderi,1,TN
snowboarderi,schiori,0,FN
schiori,schiori,1,TP
schiori,schiori,1,TP
snowboarderi,schiori,0,FN
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,snowboarderi,0,FP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
snowboarderi,schiori,0,FN
schiori,snowboarderi,0,FP
schiori,schiori,1,TP
snowboarderi,snowboarderi,1,TN
snowboarderi,schiori,0,FN
schiori,snowboarderi,0,FP
snowboarderi,schiori,0,FN
snowboarderi,schiori,0,FN
snowboarderi,schiori,0,FN
snowboarderi,schiori,0,FN
schiori,schiori,1,TP
schiori,schiori,1,TP
snowboarderi,snowboarderi,1,TN
snowboarderi,schiori,0,FN
snowboarderi,schiori,0,FN
schiori,schiori,1,TP
snowboarderi,schiori,0,FN
snowboarderi,snowboarderi,1,TN
snowboarderi,snowboarderi,1,TN
,Totoal:,36,
,,TP:,28
,,TN:,8
,,FP:,7
,,FN:,18
,,Error rate:,0.409836066
,,Precision:,0.8
,,Accuracy:,0.590163934
,,Sensibility:,0.608695652
