True Label snowb = neg,Predicted Label,,
snowboarderi,schiori,0,FN
schiori,schiori,1,TP
schiori,schiori,1,TP
snowboarderi,schiori,0,FN
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,snowboarderi,0,FP
schiori,schiori,1,TP
schiori,schiori,1,TP
snowboarderi,snowboarderi,1,TN
snowboarderi,snowboarderi,1,TN
schiori,schiori,1,TP
snowboarderi,snowboarderi,1,TN
snowboarderi,schiori,0,FN
snowboarderi,schiori,0,FN
schiori,schiori,1,TP
schiori,schiori,1,TP
snowboarderi,snowboarderi,1,TN
snowboarderi,schiori,0,FN
schiori,schiori,1,TP
snowboarderi,schiori,0,FN
schiori,schiori,1,TP
schiori,snowboarderi,0,FP
snowboarderi,schiori,0,FN
snowboarderi,snowboarderi,1,TN
schiori,schiori,1,TP
schiori,schiori,1,TP
snowboarderi,schiori,0,FN
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
schiori,schiori,1,TP
snowboarderi,snowboarderi,1,TN
schiori,snowboarderi,0,FP
schiori,schiori,1,TP
snowboarderi,snowboarderi,1,TN
snowboarderi,schiori,0,FN
schiori,schiori,1,TP
snowboarderi,snowboarderi,1,TN
snowboarderi,schiori,0,FN
snowboarderi,schiori,0,FN
snowboarderi,snowboarderi,1,TN
schiori,schiori,1,TP
schiori,snowboarderi,0,FP
snowboarderi,schiori,0,FN
snowboarderi,schiori,0,FN
snowboarderi,schiori,0,FN
schiori,schiori,1,TP
snowboarderi,schiori,0,FN
snowboarderi,snowboarderi,1,TN
snowboarderi,schiori,0,FN
,Total,41,
,,TP:,31
,,TN:,10
,,FP:,4
,,FN:,16
,,Error rate:,0.327868852
,,Precision:,0.885714286
,,Accuracy:,0.672131148
,,Sensibility:,0.659574468
